ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2019,14072,35014072,20206,TAUBATE,QUEIROZ CORONEL,REDENCAO DA SERRA,0.0000000000,3.0300000000,2.2300000000
2019,14084,35014084,20206,TAUBATE,JOAO GONCALVES BARBOSA PROFESSOR,CACAPAVA,0.0000000000,0.0000000000,3.0800000000
2019,14096,35014096,20206,TAUBATE,FIGUEIRA DE TOLEDO,NATIVIDADE DA SERRA,0.0000000000,3.8400000000,3.1100000000
2019,14126,35014126,20206,TAUBATE,JACQUES FELIX,TAUBATE,0.0000000000,0.0000000000,3.7000000000
2019,14148,35014148,20206,TAUBATE,JOSE DE MOURA REZENDE MINISTRO,CACAPAVA,0.0000000000,3.5200000000,2.1300000000
2019,14175,35014175,20206,TAUBATE,AMADOR BUENO DA VEIGA,TAUBATE,0.0000000000,0.0000000000,4.0100000000
2019,14187,35014187,20204,PINDAMONHANGABA,AMALIA GARCIA RIBEIRO PATTO PROFESSORA,TREMEMBE,0.0000000000,0.0000000000,2.3500000000
2019,14217,35014217,20206,TAUBATE,BERNARDINO QUERIDO PROFESSOR,TAUBATE,0.0000000000,0.0000000000,2.7400000000
2019,14230,35014230,20204,PINDAMONHANGABA,MANUEL CABRAL,TREMEMBE,0.0000000000,0.0000000000,3.3000000000
2019,14254,35014254,20206,TAUBATE,MONTEIRO LOBATO,TAUBATE,0.0000000000,0.0000000000,4.0400000000
2019,14266,35014266,20206,TAUBATE,URBANO ALVES DE SOUZA PEREIRA ENGENHEIRO,TAUBATE,0.0000000000,0.0000000000,3.7600000000
2019,14278,35014278,20206,TAUBATE,ANTONIO MAGALHAES BASTOS,TAUBATE,0.0000000000,0.0000000000,3.0100000000
2019,14285,35014285,20206,TAUBATE,MARIO CARDOSO FRANCO PROFESSOR,TAUBATE,0.0000000000,0.0000000000,3.4800000000
2019,14291,35014291,20206,TAUBATE,NEWTON CAMARA LEAL BARROS,TAUBATE,0.0000000000,0.0000000000,4.2800000000
2019,14312,35014312,20301,APIAI,DIOGENES RIBEIRO DE LIMA,RIBEIRA,0.0000000000,4.4300000000,2.4000000000
2019,14321,35014321,20301,APIAI,NASCIMENTO SATIRO DA SILVA,IPORANGA,0.0000000000,3.8000000000,1.7800000000
2019,14333,35014333,20301,APIAI,JOAO ANTUNES ALEXANDRE,GUAPIARA,0.0000000000,0.0000000000,2.9500000000
2019,14345,35014345,20301,APIAI,ELIAS LAGES DE MAGALHAES PROF,ITAOCA,4.5700000000,4.3000000000,2.2700000000
2019,14357,35014357,20301,APIAI,REGINA DIAS ANTUNES DA SILVA PROFA,APIAI,0.0000000000,4.1000000000,2.9000000000
2019,14369,35014369,20301,APIAI,LUIZ JOSE DIAS PROF,RIBEIRAO BRANCO,0.0000000000,4.5000000000,3.3800000000
2019,14370,35014370,20301,APIAI,ANTONIA BAPTISTA CALAZANS LUZ PROFA,APIAI,0.0000000000,0.0000000000,2.9400000000
2019,14394,35014394,20301,APIAI,THEREZINHA SACCOMANO PASSARO PROFA,GUAPIARA,0.0000000000,3.5000000000,2.3400000000
2019,14400,35014400,21102,REGISTRO,LUIZ DARLY GOMES DE ARAUJO PROFESSOR,BARRA DO TURVO,0.0000000000,3.0900000000,2.5600000000
2019,14412,35014412,20301,APIAI,PAULO FRANCISCO DE ASSIS PROF,BARRA DO CHAPEU,0.0000000000,3.2800000000,2.9300000000
2019,14424,35014424,20301,APIAI,AMBROSINA DE OLIVEIRA MATTOS PROFA,APIAI,4.7000000000,3.2700000000,1.7100000000
2019,14448,35014448,20303,BOTUCATU,DANUZIA DE SANTI PROFA,ITATINGA,0.0000000000,5.5800000000,2.5500000000
2019,14459,35014459,20304,ITAPETININGA,ANTONIO LUIZ DUARTE,PARANAPANEMA,0.0000000000,0.0000000000,2.5200000000
2019,14461,35014461,20302,AVARE,PAULO ARAUJO NOVAES DOUTOR,AVARE,0.0000000000,3.3500000000,2.3100000000
2019,14473,35014473,20313,ITARARE,ANTONIO TONON,CORONEL MACEDO,0.0000000000,3.8300000000,2.4100000000
2019,14485,35014485,20302,AVARE,JOAO MICHELIN,ITAI,0.0000000000,3.9900000000,2.5000000000
2019,14497,35014497,20302,AVARE,JOAO CRUZ CORONEL,AVARE,0.0000000000,3.4400000000,2.4800000000
2019,14503,35014503,20302,AVARE,PEDRO BENTO ALVES,ARANDU,0.0000000000,3.4200000000,2.0400000000
2019,14515,35014515,20302,AVARE,PAULO DELICIO,AGUAS DE SANTA BARBARA,0.0000000000,4.2800000000,2.5000000000
2019,14527,35014527,20302,AVARE,JOSE LEITE PINHEIRO PROFESSOR,CERQUEIRA CESAR,0.0000000000,3.2600000000,2.3800000000
2019,14540,35014540,20302,AVARE,JOSE PENNA,TAQUARITUBA,0.0000000000,4.0800000000,2.8300000000
2019,14552,35014552,20302,AVARE,AVELINO APARECIDO RIBEIRO DOUTOR,IARAS,0.0000000000,0.0000000000,3.0800000000
2019,14588,35014588,20302,AVARE,JOAO TEIXEIRA DE ARAUJO PROFESSOR,AVARE,0.0000000000,2.9400000000,2.5600000000
2019,14631,35014631,20302,AVARE,BENE ANDRADE DONA,AVARE,0.0000000000,4.2100000000,0.0000000000
2019,14667,35014667,20304,ITAPETININGA,HOLAMBRA II,PARANAPANEMA,0.0000000000,0.0000000000,2.8200000000
2019,14679,35014679,20302,AVARE,MATILDE VIEIRA,AVARE,0.0000000000,4.1100000000,2.4700000000
2019,14692,35014692,20303,BOTUCATU,ANIZIO FERRAZ GODINHO PROF,CONCHAS,0.0000000000,3.4200000000,2.3400000000
2019,14746,35014746,20303,BOTUCATU,VALENTIM DO AMARAL,ANHEMBI,0.0000000000,0.0000000000,2.0500000000
