ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MEDIO
2018;923515;35923515;10210;LESTE 2;MIGUEL HIDALGO;SAO PAULO;4.0000000000;;
2018;41737;35041737;10317;SUL 1;FLAVIO JOSE OSORIO NEGRINI PROFESSOR;SAO PAULO;;3.2500000000;1.4400000000
2018;4583;35004583;10317;SUL 1;LAIS AMARAL VICENTE PROFESSORA;SAO PAULO;;2.6600000000;
2018;433482;35433482;10211;LESTE 3;JARDIM PEDRA BRANCA;SAO PAULO;4.1900000000;2.9700000000;1.7900000000
2018;2914;35002914;10210;LESTE 2;DOM PEDRO I;SAO PAULO;;;2.2400000000
2018;3669;35003669;10312;CENTRO OESTE;ALEXANDRE VON HUMBOLDT;SAO PAULO;;;4.6600000000
2018;2355;35002355;10208;LESTE 4;MARISA DE MELLO PROFA;SAO PAULO;6.7600000000;;
2018;1685;35001685;10316;CENTRO SUL;MARIO CASASSANTA PROFESSOR;SAO PAULO;;3.0400000000;2.6500000000
2018;3670;35003670;10102;CENTRO;FIDELINO DE FIGUEIREDO PROFESSOR;SAO PAULO;;3.6600000000;2.7800000000
2018;1797;35001797;10316;CENTRO SUL;BRISABELLA ALMEIDA NOBRE PROFESSORA;SAO PAULO;;4.5100000000;3.8200000000
2018;4728;35004728;10317;SUL 1;JOAO MARIA PIRES DE AGUIAR PROFESSOR;SAO PAULO;4.3200000000;;
2018;3062;35003062;10207;LESTE 1;EMILIA DE PAIVA MEIRA PROFESSORA;SAO PAULO;;3.1100000000;1.9000000000
2018;28472;35028472;20704;JOSE BONIFACIO;EDMUR NEVES PROFESSOR;MIRASSOL;;4.3600000000;3.8700000000
2018;47594;35047594;20704;JOSE BONIFACIO;TUFI MADI;MIRASSOL;;3.5800000000;2.5900000000
2018;22652;35022652;20506;JABOTICABAL;ELISIO DE CASTRO DOUTOR;TAQUARAL;;3.7500000000;2.3700000000
2018;1739;35001739;10316;CENTRO SUL;ANDRE DREYFUS PROFESSOR;SAO PAULO;5.5400000000;;
2018;904879;35904879;10314;SUL 2;GIL VICENTE;SAO PAULO;4.0600000000;3.0700000000;2.2300000000
2018;902846;35902846;10207;LESTE 1;SAID MURAD;SAO PAULO;5.1200000000;3.3300000000;
2018;37771;35037771;10104;NORTE 2;LUZIA GODOY PROFA;SAO PAULO;6.7600000000;;
2018;39226;35039226;10104;NORTE 2;LUIZ LAZARO ZAMENHOF DR;SAO PAULO;5.5300000000;;
2018;39305;35039305;10317;SUL 1;JOAO ERNESTO DE SOUZA CAMPOS PROFESSOR;SAO PAULO;5.3900000000;;
2018;901261;35901261;20408;LIMEIRA;PAULO CHAVES PROFESSOR;LIMEIRA;;2.9600000000;2.1800000000
